,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value
0,0.0,1.0,20.775434494018555,250,,,,,,,
1,5.0,2.0,0.7317824363708496,500,,,,,,,
2,0.0,3.0,0.7321486473083496,750,,,,,,,
3,0.0,4.0,0.7308902740478516,1000,,,,,,,
4,201.0,5.0,75.35404086112976,1250,0.2528515625,0.9706124938130378,-0.6708727077841758,-2.0,2.469330229282379,0.31252229410409926,0.09941512395369971
5,99.0,6.0,75.56740164756775,1500,0.26053125,0.4642687177658081,-1.0808209805488587,-2.0,2.5107942848205567,0.30675169587135315,0.09817621185119235
6,97.0,7.0,75.62116837501526,1750,0.2457890625,0.4642365021705627,-1.5070597200393676,-2.0,2.396833812713623,0.27655147671699526,0.09706129909348202
7,0.0,8.0,75.77733182907104,2000,0.21846875,0.41258998411893844,-1.9679023456573486,-2.0,2.357738977432251,0.2632553173303604,0.0959752836348087
8,20.0,9.0,75.82564854621887,2250,0.19503125,0.7213456449508667,-2.5209197187423706,-2.0,2.272409119606018,0.24462043273448944,0.09493366346980765
9,18.0,10.0,75.81995487213135,2500,0.186171875,0.765033635020256,-3.290500110626221,-2.0,2.201947410583496,0.22381037175655366,0.09394291038311103
10,0.0,11.0,75.79772782325745,2750,0.291359375,1.5490844328403472,-5.209106645584106,-2.0,2.181012208938599,0.1871988205909729,0.09303725794175909
11,826.0,12.0,75.89954423904419,3000,0.44596875,1.2376817972660066,-7.822904273986817,-2.0,2.1218063945770265,0.15598572462797164,0.09226094510134833
12,0.0,13.0,75.81629657745361,3250,0.4097734375,1.616096339225769,-9.657188999176025,-2.0,1.99595920753479,0.12238995295763015,0.0915792973172485
13,0.0,14.0,75.8365249633789,3500,0.4022578125,1.9279734811782836,-11.519018608093262,-2.0,1.8966789999008178,0.07562092535197734,0.09107168039875588
14,347.0,15.0,75.82113552093506,3750,0.4840546875,2.49899658536911,-13.933182456970215,-2.0,1.8230782327651978,0.06322904248535634,0.09071086280132602
15,465.0,16.0,75.90054059028625,4000,0.588203125,2.8707987666130066,-17.196132675170897,-2.0,1.6495997762680055,0.07211288356781007,0.09031996261723892
16,422.0,17.0,75.8044867515564,4250,0.6078359375,2.7151844544410704,-19.699091842651367,-2.0,1.6096016778945923,0.07951329490542412,0.0898428817646168
17,10.0,18.0,75.86836504936218,4500,0.5746796875,2.8984301505088808,-21.361334930419922,-2.0,1.5799956674575806,0.07919115760922432,0.0893059917185525
18,0.0,19.0,75.9101951122284,4750,0.560125,2.0949264616966246,-23.24029296875,-2.0,1.552714940071106,0.08385210087895394,0.08873115484279287
19,239.0,20.0,,5000,0.58678125,2.5205092668533324,-24.398202728271485,-2.0,1.5938995323181153,0.07999799713492393,0.08812832417007306
20,,,93.66590404510498,5000,,,,,,,
21,213.0,21.0,75.57578802108765,5250,0.6723203125,2.750855916023254,-27.444941650390625,-2.0,1.5558533411026,0.075099738240242,0.08753652725076949
22,952.0,22.0,75.76518273353577,5500,0.73759375,2.9056566848754883,-30.54572280883789,-2.0,1.5929963903427125,0.06659280395507812,0.08694828676011261
23,114.0,23.0,75.8935182094574,5750,0.8018046875,2.7262721939086916,-33.65566705322266,-2.0,1.5996865787506103,0.05295936480164528,0.08645496934235826
24,994.0,24.0,75.83303666114807,6000,0.861984375,3.5159933519363404,-38.21033999633789,-2.0,1.5454140701293946,0.03213415551930666,0.08607168850683126
25,14.0,25.0,75.82240343093872,6250,0.895328125,3.1412655897140502,-42.763652526855466,-2.0,1.5014712200164795,0.027062248538713904,0.08581615861404863
26,958.0,26.0,75.87985968589783,6500,0.9390546875,3.3184618673324584,-46.578552978515624,-2.0,1.4933203802108765,0.018072663160972297,0.08557833984465744
27,4.0,27.0,75.87712216377258,6750,0.92271875,3.1595601043701174,-48.690958129882816,-2.0,1.496306987762451,0.01696106343343854,0.085407630771064
28,183.0,28.0,75.84323191642761,7000,0.9004765625,3.399654035568237,-50.77846878051758,-2.0,1.4628198165893556,0.012124402356334031,0.0852416269439542
29,211.0,29.0,75.8006739616394,7250,0.969203125,3.3740217084884643,-54.75213394165039,-2.0,1.3872790594100952,-0.0008889723643660545,0.08515642168250974
30,931.0,30.0,75.93327713012695,7500,1.0473125,3.5675063743591306,-58.69975485229492,-2.0,1.2666005992889404,-0.014070034044794738,0.0852690375475471
31,881.0,31.0,75.84258389472961,7750,1.081390625,3.7840762462615967,-62.38513897705078,-2.0,1.186881079673767,-0.011580851934850216,0.08543559327267393
32,49.0,32.0,75.90032529830933,8000,1.0794609375,3.9120139179229736,-64.76770498657227,-2.0,1.150724895954132,-0.015769246252253653,0.08563690274532103
33,641.0,33.0,75.88141107559204,8250,1.15334375,3.590568060874939,-68.50315017700196,-2.0,1.0662092266082763,-0.020543899235315622,0.0859169633069475
34,960.0,34.0,75.92174410820007,8500,1.2102890625,3.86647380065918,-72.49083502197266,-2.0,1.0450880246162415,-0.021397887613624333,0.08627442451911442
35,780.0,35.0,75.89640879631042,8750,1.283328125,4.049578994750976,-76.46605065917969,-2.0,1.0463119401931762,-0.021913506234064697,0.08665102722791172
36,961.0,36.0,75.89753437042236,9000,1.3599921875,3.963030926704407,-80.18193170166016,-2.0,1.0044138555526734,-0.021709675271995365,0.08703801675072599
37,975.0,37.0,75.8954861164093,9250,1.3641328125,3.686092674255371,-83.91969201660156,-2.0,1.0031657729148864,-0.026800836119800806,0.08751682943776212
38,0.0,38.0,75.89515209197998,9500,1.3880703125,3.627520615577698,-88.17388336181641,-2.0,1.0295490856170655,-0.026679175203200428,0.08807522602552045
39,976.0,39.0,75.88215279579163,9750,1.4545859375,3.5756762189865112,-92.07064086914062,-2.0,1.022881570339203,-0.02604131251387298,0.08861914862879916
40,882.0,40.0,,10000,1.472078125,3.86440691947937,-95.00727893066406,-2.0,1.0174359784126281,-0.019781688719056546,0.08916784921228912
